substrate,tf
DIS3,DAL82
DJP1,STE12
DLD1,CIN5
DLD1,HAP1
DLD1,MSN2
DLD1,SWI5
DLD2,STE12
DLD3,MSN2
DLD3,RAP1
DLD3,RTG3
DLD3,SOK2
DNM1,RAP1
DNM1,YRM1
DOA4,MSN2
DOG1,ABF1
DOM34,MSN2
DOS2,DAL82
DOT6,ABF1
DOT6,MSN2
DOT6,SOK2
DPB2,MBP1
DPL1,MCM1
DPL1,STE12
DPP1,ABF1
DPP1,INO4
DPS1,SKN7
DRE2,YAP1
DRS1,YRM1
DRS2,STE12
DSE1,ACE2
DSE1,CAD1
DSE1,CIN5
DSE1,FKH1
DSE1,MBP1
DSE1,STE12
DSE1,SWI5
DSE2,ACE2
DSE2,FKH1
DSE2,RLM1
DSE2,STE12
DSE2,SWI5
DSE3,ACE2
DSE3,SWI5
DSE3,YAP1
DSE4,ACE2
DSE4,MSN2
DSE4,STE12
DSE4,SWI5
DSE4,YOX1
DSF2,STE12
DSF2,TEC1
DSK2,RPN4
DSN1,STE12
DSS1,GCN4
DSS4,ABF1
DUG1,FKH1
DUG3,MET32
DUG3,RAP1
DUN1,MBP1
DUN1,SWI6
DUR1_2,DAL81
DUR1_2,GLN3
DUS3,MSN2
DUS3,RAP1
DUS3,TEC1
DYN1,FKH1
EAP1,RAP1
EAP1,STE12
EAR1,RIM101
EBP2,ABF1
ECI1,OAF1
ECL1,HSF1
ECL1,LEU3
ECL1,MSN2
ECL1,ROX1
ECL1,SOK2
ECL1,STE12
ECM1,ADR1
ECM1,YOX1
ECM10,STE12
ECM11,TEC1
ECM22,ABF1
ECM22,STE12
ECM25,ABF1
ECM3,MSN2
ECM30,STE12
ECM32,ACE2
ECM32,GCN4
ECM33,MCM1
ECM33,MSN2
ECM33,RAP1
ECM33,STE12
ECM33,TEC1
ECM38,ASH1
ECM38,CBF1
ECM38,MSN2
ECM38,STE12
ECM38,SWI4
ECM38,SWI6
ECM38,TUP1
ECM38,YAP1
ECM4,IXR1
ECM4,MSN2
ECM4,RGT1
ECM4,SOK2
ECM4,YAP1
ECM5,STE12
EDC2,ABF1
EDC2,HSF1
EDC2,RAP1
EDC2,SOK2
EEB1,SOK2
EFB1,ABF1
EFB1,HSF1
EFB1,RAP1
EFT2,SOK2
EGD1,RAP1
EGD2,ACE2
EGD2,ROX1
EGT2,ACE2
EGT2,MCM1
EGT2,MSN2
EGT2,RAP1
EGT2,SOK2
EGT2,SWI5
EGT2,YAP1
EHD3,STE12
EHT1,INO4
EHT1,YAP1
EKI1,INO4
ELO1,ASH1
ELO1,FLO8
ELO1,GCR2
ELO1,MBP1
ELO1,MSN2
ELO1,NRG1
ELO1,SWI4
ELO1,SWI6
ELP2,CBF1
ELP3,SFP1
EMG1,SWI4
EMI1,MSN2
EMI2,FHL1
EMI2,MSN2
EMI2,PDR1
EMI2,SOK2
EMP47,TEC1
